epoch,accuracy,loss,val_accuracy,val_loss
0,0.7231025099754333,0.5625138282775879,0.7113456130027771,0.5641363263130188
1,0.7376234531402588,0.540953516960144,0.701877236366272,0.5754820704460144
2,0.7413905262947083,0.5358349680900574,0.6875556111335754,0.5888868570327759
3,0.7431135177612305,0.532853364944458,0.7016919255256653,0.5777283310890198
4,0.7449715733528137,0.5296196937561035,0.7063625454902649,0.5837368369102478
5,0.7469931244850159,0.527208149433136,0.697058379650116,0.5923418402671814
6,0.748738706111908,0.5243626832962036,0.7161380052566528,0.5624398589134216
7,0.7505113482475281,0.5214785933494568,0.6964705586433411,0.5857552886009216
8,0.7522621750831604,0.5182197093963623,0.7102335095405579,0.5710156559944153
9,0.7534967064857483,0.5152583718299866,0.6998569965362549,0.5831099152565002
